Balloon filename (gpx),station,expected timeframe
SMT_20220724_231539.gpx,21,2022-07-25 00:30:02+00:00 till 2022-07-25 00:31:06+00:00
SMT_20220724_231539.gpx,12,2022-07-25 00:14:05+00:00 till 2022-07-25 00:33:35+00:00
SMT_20220724_231539.gpx,11,2022-07-24 23:18:59+00:00 till 2022-07-25 00:33:35+00:00
SMT_20220724_231539.gpx,13,2022-07-25 00:06:02+00:00 till 2022-07-25 00:33:35+00:00
SMT_20220724_231539.gpx,22,2022-07-25 00:23:45+00:00 till 2022-07-25 00:33:35+00:00
SMT_20220724_231539.gpx,23,2022-07-25 00:17:02+00:00 till 2022-07-25 00:33:35+00:00
SMT_20220724_231539.gpx,24,2022-07-25 00:09:15+00:00 till 2022-07-25 00:33:35+00:00
SMT_20220829_231438.gpx,21,2022-08-29 23:15:33+00:00 till 2022-08-29 23:15:33+00:00
SMT_20220829_231438.gpx,22,2022-08-29 23:16:26+00:00 till 2022-08-29 23:16:47+00:00
SMT_20220829_231438.gpx,23,2022-08-29 23:17:33+00:00 till 2022-08-29 23:18:13+00:00
SMT_20220829_231438.gpx,24,2022-08-29 23:18:50+00:00 till 2022-08-29 23:19:36+00:00
SMT_20220916_231807.gpx,21,2022-09-16 23:19:06+00:00 till 2022-09-16 23:19:21+00:00
SMT_20220916_231807.gpx,22,2022-09-16 23:21:02+00:00 till 2022-09-16 23:22:20+00:00
SMT_20220816_232314.gpx,22,2022-08-16 23:32:00+00:00 till 2022-08-16 23:39:56+00:00
SMT_20220907_112500.gpx,23,2022-09-07 11:28:30+00:00 till 2022-09-07 11:29:06+00:00
SMT_20220907_112500.gpx,24,2022-09-07 11:29:27+00:00 till 2022-09-07 11:30:02+00:00
SMT_20220628_231514.gpx,12,2022-06-28 23:19:24+00:00 till 2022-06-28 23:21:44+00:00
SMT_20220628_231514.gpx,13,2022-06-28 23:22:13+00:00 till 2022-06-28 23:57:33+00:00
SMT_20220628_231514.gpx,24,2022-06-28 23:55:59+00:00 till 2022-06-28 23:57:31+00:00
SMT_20220821_231801.gpx,21,2022-08-22 00:45:06+00:00 till 2022-08-22 00:48:18+00:00
SMT_20220821_231801.gpx,22,2022-08-22 00:45:59+00:00 till 2022-08-22 00:48:18+00:00
SMT_20220630_112143.gpx,21,2022-06-30 12:15:39+00:00 till 2022-06-30 12:48:30+00:00
SMT_20220630_112143.gpx,12,2022-06-30 12:21:08+00:00 till 2022-06-30 12:48:30+00:00
SMT_20220630_112143.gpx,11,2022-06-30 12:19:31+00:00 till 2022-06-30 12:48:30+00:00
SMT_20220630_112143.gpx,13,2022-06-30 12:23:43+00:00 till 2022-06-30 12:48:30+00:00
SMT_20220630_112143.gpx,22,2022-06-30 12:17:52+00:00 till 2022-06-30 12:48:30+00:00
SMT_20220630_112143.gpx,23,2022-06-30 12:20:12+00:00 till 2022-06-30 12:48:30+00:00
SMT_20220630_112143.gpx,24,2022-06-30 12:24:28+00:00 till 2022-06-30 12:48:30+00:00
SMT_20220725_231505.gpx,21,2022-07-25 23:17:26+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,12,2022-07-26 00:31:19+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,11,2022-07-26 00:35:17+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,13,2022-07-26 00:25:59+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,22,2022-07-25 23:21:16+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,23,2022-07-25 23:24:26+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,24,2022-07-25 23:28:41+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220703_111803.gpx,21,2022-07-03 11:37:18+00:00 till 2022-07-03 11:40:58+00:00
SMT_20220703_111803.gpx,13,2022-07-03 11:46:20+00:00 till 2022-07-03 11:51:19+00:00
SMT_20220703_111803.gpx,22,2022-07-03 11:38:08+00:00 till 2022-07-03 11:47:40+00:00
SMT_20220703_111803.gpx,23,2022-07-03 11:40:17+00:00 till 2022-07-03 11:51:44+00:00
SMT_20220703_111803.gpx,24,2022-07-03 11:43:15+00:00 till 2022-07-03 11:57:07+00:00
SMT_20220820_111609.gpx,21,2022-08-20 11:19:04+00:00 till 2022-08-20 11:21:53+00:00
SMT_20220820_111609.gpx,12,2022-08-20 11:23:30+00:00 till 2022-08-20 11:27:21+00:00
SMT_20220820_111609.gpx,13,2022-08-20 11:25:58+00:00 till 2022-08-20 11:28:14+00:00
SMT_20220624_231528.gpx,21,2022-06-25 00:26:31+00:00 till 2022-06-25 00:40:56+00:00
SMT_20220624_231528.gpx,12,2022-06-25 00:24:37+00:00 till 2022-06-25 00:40:56+00:00
SMT_20220624_231528.gpx,11,2022-06-25 00:29:02+00:00 till 2022-06-25 00:40:56+00:00
SMT_20220624_231528.gpx,13,2022-06-25 00:22:50+00:00 till 2022-06-25 00:40:56+00:00
SMT_20220624_231528.gpx,22,2022-06-25 00:21:41+00:00 till 2022-06-25 00:40:56+00:00
SMT_20220624_231528.gpx,23,2022-06-25 00:18:08+00:00 till 2022-06-25 00:40:56+00:00
SMT_20220624_231528.gpx,24,2022-06-25 00:17:19+00:00 till 2022-06-25 00:40:56+00:00
SMT_20220701_111515.gpx,21,2022-07-01 11:19:17+00:00 till 2022-07-01 11:19:44+00:00
SMT_20220701_111515.gpx,11,2022-07-01 11:21:02+00:00 till 2022-07-01 11:28:00+00:00
SMT_20220808_111527.gpx,11,2022-08-08 11:18:23+00:00 till 2022-08-08 11:18:28+00:00
SMT_20220930_111518.gpx,12,2022-09-30 11:19:26+00:00 till 2022-09-30 11:20:28+00:00
SMT_20220821_111511.gpx,21,2022-08-21 12:25:14+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,12,2022-08-21 12:28:37+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,11,2022-08-21 12:27:56+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,13,2022-08-21 12:30:44+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,22,2022-08-21 12:26:30+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,23,2022-08-21 12:27:46+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,24,2022-08-21 12:30:03+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220906_231459.gpx,23,2022-09-06 23:18:47+00:00 till 2022-09-06 23:19:11+00:00
SMT_20220906_231459.gpx,24,2022-09-06 23:19:56+00:00 till 2022-09-06 23:20:17+00:00
SMT_20220813_112235.gpx,21,2022-08-13 11:12:14+00:00 till 2022-08-13 11:12:14+00:00
SMT_20220714_231645.gpx,12,2022-07-14 23:30:29+00:00 till 2022-07-15 00:20:29+00:00
SMT_20220714_231645.gpx,11,2022-07-14 23:27:00+00:00 till 2022-07-15 00:23:56+00:00
SMT_20220714_231645.gpx,13,2022-07-14 23:36:24+00:00 till 2022-07-14 23:52:56+00:00
SMT_20220723_231622.gpx,21,2022-07-23 23:19:58+00:00 till 2022-07-24 00:42:47+00:00
SMT_20220723_231622.gpx,12,2022-07-23 23:34:01+00:00 till 2022-07-23 23:34:10+00:00
SMT_20220723_231622.gpx,13,2022-07-23 23:34:27+00:00 till 2022-07-23 23:36:43+00:00
SMT_20220723_231622.gpx,22,2022-07-23 23:29:17+00:00 till 2022-07-24 00:42:47+00:00
